Società,Email,Sito Internet,Sede Legale,Sede Operativa,Settori Attività
"ROMAGNA ENERGIA SOC. CONS. PER AZIONI
 
 P.IVA 03104940402
 C.F. 03104940402
 Anno di costituzione 1999",,,"Via dell'Arrigoni,
60 - 47023
CESENA(Forlì-Cesena)","Via dell'Arrigoni,
60 - 47023
CESENA(Forlì-Cesena)","g) vendita a clienti liberi dell'energia elettrica 
 h) vendita a clienti tutelati dell'energia elettrica"
"RUZZO RETI SPA 
 Società per azioni (S.p.a.)
 P.IVA 01522960671
 C.F. 01522960671
 Anno di costituzione 2003",renato.francioni@ruzzo.it,www.ruzzo.it,"Via nNicola Dati,
18 - 64100
TERAMO(Teramo)","Via nNicola Dati,
18 - 64100
TERAMO(Teramo)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica"
"SAN MARCO ENERGIA
 S.r.l. unipersonale
 P.IVA 03488730270
 C.F. 03488730270
 Anno di costituzione 2003",ramirez@sanmarcoenergia.com,www.sanmarcoenergia.com,"Via VIA DELLE INDUSTRIE ,
17A - 30175
VENEZIA(Venezia)","Via dell'elettronica ,
2 - 30175
VENEZIA(Venezia)",g) vendita a clienti liberi dell'energia elettrica
"S.E.A. SERVIZI ENERGETICI S.R.L.
 Società a responsabilita limitata (S.r.l.)
 P.IVA 02090640422
 C.F. 02090640422
 Anno di costituzione 2001",,,"Via CIMABUE ,
1/3 - 60019
SENIGALLIA(Ancona)","Via CIMABUE ,
1/3 - 60019
SENIGALLIA(Ancona)","a) produzione dell'energia elettrica 
 g) vendita a clienti liberi dell'energia elettrica"
"SELTRADE SPA
 Società per azioni (S.p.a.)
 P.IVA 02345810218
 C.F. 02345810218
 Anno di costituzione 2003",info@seltrade.bz.it,,"Via Canonico Michael Gamper,
9 - 39100
Bolzano/Bozen(Bolzano/Bozen)","Via Canonico Michael Gamper,
9 - 39100
Bolzano/Bozen(Bolzano/Bozen)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica"
"SERVIZI INTEGRATI ENERGIA S.I.E. S.R.L.
 Società a responsabilita limitata (S.r.l.)
 P.IVA 03273880231
 C.F. 03273880231
 Anno di costituzione 2002",sie-ciocco@cisi.vr,,"Via Via Labriola,
1 - 37054
NOGARA(Verona)","Via Labriola,
1 - 37054
NOGARA(Verona)","g) vendita a clienti liberi dell'energia elettrica 
 s) vendita a clienti finali del gas naturale"
"SERVIZI POLIFUNZIONALI ECOSOSTENIBILI GIOIA S.P.A. IN SIGLA S.P.E.S. GIOIA S.P.A.
 Società per azioni (S.p.a.)
 P.IVA 06245760720
 C.F. 06245760720
 Anno di costituzione 2010",,,"Via  VIA GABRIELE D'ANNUNZIO ,
76/78 - 70023
GIOIA DEL COLLE(Bari)","Via  VIA GABRIELE D'ANNUNZIO ,
76/78 - 70023
GIOIA DEL COLLE(Bari)","a) produzione dell'energia elettrica 
 g) vendita a clienti liberi dell'energia elettrica"
"SERVIZI UNINDUSTRIA MULTIUTILITIES S.R.L.
 Società a responsabilita limitata (S.r.l.)
 P.IVA 03649070269
 C.F. 03649070269
 Anno di costituzione 2001",,,"Via Via Martiri della Libertà ,
28 - 31100
TREVISO(Treviso)","Via Via Martiri della Libertà ,
28 - 31100
TREVISO(Treviso)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica"
"SGR SERVIZI S.P.A.
 Società per azioni (S.p.a.)
 P.IVA 00338000409
 C.F. 00338000409
 Anno di costituzione 2001",gasrimini@gasrimini.it,www.gasrimini.it,"Via via Chiabrera ,
34/B - 47900
RIMINI(Rimini)","Via via Chiabrera ,
34/B - 47900
RIMINI(Rimini)","g) vendita a clienti liberi dell'energia elettrica 
 s) vendita a clienti finali del gas naturale
 trasporto, distribuzione e vendita di energia termica"
"SI(E)NERGIA S.P.A.
 Società per azioni (S.p.a.)
 P.IVA 01175590544
 C.F. 01175590544
 Anno di costituzione 1980",info@sienergiaspa.it,www.sienergiaspa.it,"Via Via F.lli Cairoli,
24 - 06125
PERUGIA(Perugia)","Via Via F.lli Cairoli,
24 - 06125
PERUGIA(Perugia)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 p) distribuzione del gas naturale
 q) misura del gas naturale"
"SIME-COMM SRL  SERVIZI ENERGIA
 Società a responsabilita limitata (S.r.l.)
 P.IVA 01274520194
 C.F. 01274520194
 Anno di costituzione 2002",federicobonaventura@simecrema.it,www.simecrema.it,"Piazza Piazza Benvenuti,
11 - 26013
CREMA(Cremona)","Piazza Piazza Benvenuti,
11 - 26013
CREMA(Cremona)","g) vendita a clienti liberi dell'energia elettrica 
 s) vendita a clienti finali del gas naturale"
"SINERGAS SPA
 Società per azioni (S.p.a.)
 P.IVA 01877220366
 C.F. 01877220366
 Anno di costituzione 1989",info@sinergas.it,www.sinergas.it,"Via San Bernardino Realino,
4 - 41012
MIRANDOLA(Modena)","Via San Bernardino Realino,
4 - 41012
MIRANDOLA(Modena)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 r) acquisto e vendita all'ingrosso del gas naturale
 s) vendita a clienti finali del gas naturale"
"SOCIETÀ COOPERATIVA IDROELETTRICA DI FORNI DI SOPRA
 Societa cooperativa a responsabilità limitata (S.c.r.l.)
 P.IVA 00186960308
 C.F. 00186960308
 Anno di costituzione 1975",info@sci-forni.it,www.sci-forni.it,"Via Via Nazionale Loc. Santaviela,
12 - 33024
FORNI DI SOPRA(Udine)","Via Via Nazionale Loc. Santaviela,
12 - 33024
FORNI DI SOPRA(Udine)","a) produzione dell'energia elettrica 
 d) distribuzione dell'energia elettrica 
 e) misura dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 h) vendita a clienti tutelati dell'energia elettrica"
"SOCIETA ENERGIA ITALIA SRL
 Società a responsabilita limitata (S.r.l.)
 P.IVA 01928010683
 C.F. 01928010683
 Anno di costituzione 2010",sei@societaenergiaitalia.com,http://www.societaenergiaitalia.com,"Piazza Garibaldi,
35 - 65126
PESCARA(Pescara)","Piazza Garibaldi,
35 - 65126
PESCARA(Pescara)",g) vendita a clienti liberi dell'energia elettrica
"SOCIETA' SERVIZI ENERGIA S.R.L.
 Società a responsabilita limitata (S.r.l.)
 P.IVA 02981930247
 C.F. 02981930247
 Anno di costituzione 2002",segreteria@ssenergia.com,www.ssenergia.com,"Piazza RISORGIVE,
31 - 36040
VICENZA(Vicenza)","Piazza Dei Giacinti,
14/6 - 41100
MODENA(Modena)","g) vendita a clienti liberi dell'energia elettrica 
 s) vendita a clienti finali del gas naturale
 altro"
"SOENERGY S.R.L.
 Società a responsabilita limitata (S.r.l.)
 P.IVA 01565370382
 C.F. 01565370382
 Anno di costituzione 2002",albieri@soenergy.it,www.soelia.it/gruppo/soenergy.html,"Via VIA PIETRO VIANELLI,
1 - 44011
ARGENTA(Ferrara)","Via VIA PIETRO VIANELLI,
1 - 44011
ARGENTA(Ferrara)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 r) acquisto e vendita all'ingrosso del gas naturale
 s) vendita a clienti finali del gas naturale"
"SO.MET. ENERGIA S.R.L.
 Società a responsabilita limitata (S.r.l.)
 P.IVA 01287460057
 C.F. 01287460057
 Anno di costituzione 2001",bbrochetto@sometgas.com,,"Via Via G. Testore,
12 - 14055
COSTIGLIOLE D'ASTI(Asti)","Via Via G. Testore,
12 - 14055
COSTIGLIOLE D'ASTI(Asti)","g) vendita a clienti liberi dell'energia elettrica 
 h) vendita a clienti tutelati dell'energia elettrica 
 s) vendita a clienti finali del gas naturale"
"Sorgea Energia Srl
 Società a responsabilita limitata (S.r.l.)
 P.IVA 02822550360
 C.F. 02822550360
 Anno di costituzione 2002",amministrazione@sorgeaenergia.it,www.sorgeaenergia.it,"Piazza VERDI,
6 - 41034
FINALE EMILIA(Modena)","Piazza bricci,
2 - 41034
FINALE EMILIA(Modena)","g) vendita a clienti liberi dell'energia elettrica 
 s) vendita a clienti finali del gas naturale"
"SORGENIA S.P.A. 
 Società per azioni (S.p.a.)
 P.IVA 12874490159
 C.F. 07756640012
 Anno di costituzione 1999",info@sorgenia.it,www.sorgenia.it,"Via Via Ciovassino,
1 - 20121
MILANO(Milano)","Via Vincenzo Viviani,
12 - 20124
MILANO(Milano)","a) produzione dell'energia elettrica 
 f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 r) acquisto e vendita all'ingrosso del gas naturale
 s) vendita a clienti finali del gas naturale
 altro"
"SPIENERGY
 Società a responsabilita limitata (S.r.l.)
 P.IVA 01294820111
 C.F. 01294820111
 Anno di costituzione 2009",info@spienergysrl.com,,"PIAZZALE KENNEDY,
27 - 19100
LA SPEZIA(La Spezia)","PIAZZALE KENNEDY,
27 - 19100
LA SPEZIA(La Spezia)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica"
"TASSULLO ENERGIA TRADING S.r.l. - T.E.T. S.r.l.
 Società a responsabilita limitata (S.r.l.)
 P.IVA 01863660229
 C.F. 01863660229
 Anno di costituzione 2004",,,"Via Via Nazionale,
157 - 38010
TASSULLO(Trento)","Via Via Nazionale,
157 - 38010
TASSULLO(Trento)",g) vendita a clienti liberi dell'energia elettrica
"TEAENERGIA S.R.L
 Società a responsabilita limitata (S.r.l.)
 P.IVA 02125710208
 C.F. 02125710208
 Anno di costituzione 2005",fabrizio.soliani@teaspa.it,www.teaspa.it,"Via Taliercio,
3 - 46100
MANTOVA(Mantova)","Via Taliercio,
3 - 46100
MANTOVA(Mantova)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 r) acquisto e vendita all'ingrosso del gas naturale
 s) vendita a clienti finali del gas naturale
 trasporto, distribuzione e vendita di energia termica"
"TECNOENERGIA S.C.P.A.
 Società consortile per azioni
 P.IVA 03200340960
 C.F. 03200340960
 Anno di costituzione 2001",,,"Via DONATORI DI SANGUE,
6/D - 25050
PADERNO FRANCIACORTA(Brescia)","Via DONATORI DI SANGUE,
6/D - 25050
PADERNO FRANCIACORTA(Brescia)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 r) acquisto e vendita all'ingrosso del gas naturale
 s) vendita a clienti finali del gas naturale"
"TEI S.P.A.
 Società per azioni (S.p.a.)
 P.IVA 13404460159
 C.F. 13404460159
 Anno di costituzione 2005",,,"Via Via Stendhal,
63 - 20144
MILANO(Milano)","Via Stendhal,
63 - 20144
MILANO(Milano)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica"
"TELENERGIA S.R.L.
 Società a responsabilita limitata (S.r.l.)
 P.IVA 07266681001
 C.F. 07266681001
 Anno di costituzione 2002",telenergia@virgilio.it,,"Corso Corso d'Italia,
41 - 00198
ROMA(Roma)","Corso Corso d'Italia,
41 - 00198
ROMA(Roma)",g) vendita a clienti liberi dell'energia elettrica
"TERMOINDUSTRIALE S.P.A.
 Società per azioni (S.p.a.)
 P.IVA 00292640042
 C.F. 00292640042
 Anno di costituzione 1964",ti@termoindustriale.it,www.termoindustriale.it,"Strada Strada Statale 231 ,
80/D - 12069
SANTA VITTORIA D'ALBA(Cuneo)","Strada Strada Statale 231 ,
80/D - 12069
SANTA VITTORIA D'ALBA(Cuneo)",g) vendita a clienti liberi dell'energia elettrica
"TERRITORIO ENERGIA AMBIENTE SPA
 Società per azioni (S.p.a.)
 P.IVA 01838280202
 C.F. 01838280202
 Anno di costituzione 1998",,WWW.TEASPA.IT,"Via VIA TALIERCIO,
3 - 46100
MANTOVA(Mantova)","Via VIA TALIERCIO,
3 - 46100
MANTOVA(Mantova)","a) produzione dell'energia elettrica 
 g) vendita a clienti liberi dell'energia elettrica 
 p) distribuzione del gas naturale
 s) vendita a clienti finali del gas naturale
 attività non riconducibili ai settori dell'energia elettrica e del gas
 servizi prestati ad altre imprese ed enti, inclusi quelli prestati ad imprese rientranti nei settori del gas naturale e dell'energia elettrica (comma 26.2, lettera b) TIU)
 proprietari non utilizzatori di immobilizzazioni (art. 17 TIU)"
"TERRITORIO SVILUPPO & SINERGIE S.R.L.
 Società a responsabilita limitata (S.r.l.)
 P.IVA 03401210160
 C.F. 03401210160
 Anno di costituzione 2007",,,"Via Locatelli,
20 - 24050
ORIO AL SERIO(Bergamo)","Via Locatelli,
20 - 24050
ORIO AL SERIO(Bergamo)","g) vendita a clienti liberi dell'energia elettrica 
 s) vendita a clienti finali del gas naturale"
"TIRRENO POWER
 Società per azioni (S.p.a.)
 P.IVA 07242841000
 C.F. 07242841000
 Anno di costituzione 2002",info@tirrenopower.com,www.tirrenopower.com,"Via Via Barberini ,
47 - 00187
ROMA(Roma)","Via Via Barberini ,
47 - 00187
ROMA(Roma)","a) produzione dell'energia elettrica 
 g) vendita a clienti liberi dell'energia elettrica"
"TIWAG-ITALIA S.R.L.
 Società a responsabilita limitata (S.r.l.)
 P.IVA 02359610215
 C.F. 02359610215
 Anno di costituzione 2003",cosmo.bisceglie@tiwagitalia.it,www.tiwagitalia.it,"Via Via dei Conciapelli,
60 - 39100
Bolzano/Bozen(Bolzano/Bozen)","Via Via dei Conciapelli,
60 - 39100
Bolzano/Bozen(Bolzano/Bozen)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica"
"TRADECOM S.R.L.
 Società a responsabilita limitata (S.r.l.)
 P.IVA 05247771008
 C.F. 05247771008
 Anno di costituzione 1997",tradecom@confcommercio.it,,"Piazza Piazza G.G. Belli ,
2 - 00153
ROMA(Roma)","Piazza Piazza G. G. Belli,
2 - 00153
ROMA(Roma)","g) vendita a clienti liberi dell'energia elettrica 
 h) vendita a clienti tutelati dell'energia elettrica"
"Transenergia 
 Società a responsabilita limitata (S.r.l.)
 P.IVA 08528090015
 C.F. 08528090015
 Anno di costituzione 2002",,,"Via Piffetti,
15 - 10143
TORINO(Torino)","Via Piffetti,
15 - 10143
TORINO(Torino)",g) vendita a clienti liberi dell'energia elettrica
"TRENTA S.P.A.
 Società per azioni (S.p.a.)
 P.IVA 01812630224
 C.F. 01812630224
 Anno di costituzione 2002",,,"Via via Fersina,
23 - 38100
TRENTO(Trento)","Via via Fersina,
23 - 38100
TRENTO(Trento)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 h) vendita a clienti tutelati dell'energia elettrica 
 r) acquisto e vendita all'ingrosso del gas naturale
 s) vendita a clienti finali del gas naturale"
"TRENTINO ENERGIA S.R.L.
 Società per azioni (S.p.a.)
 P.IVA 01272340223
 C.F. 01272340223
 Anno di costituzione 1989",ufficio.operativo@trentinoenergia.it,http://www.trentinoenergia.it,"Via Brennero,
171/18 - 38121
TRENTO(Trento)","Via Brennero,
171/18 - 38121
TRENTO(Trento)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 r) acquisto e vendita all'ingrosso del gas naturale
 s) vendita a clienti finali del gas naturale"
"UMBRIA ENERGY S.P.A.
 Società per azioni (S.p.a.)
 P.IVA 01313790550
 C.F. 01313790550
 Anno di costituzione 2004",info@umbriaenergy.it,,"Via Via Bruno Capponi,
100 - 05100
TERNI(Terni)","Via Via Bruno Capponi,
100 - 05100
TERNI(Terni)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 h) vendita a clienti tutelati dell'energia elettrica 
 r) acquisto e vendita all'ingrosso del gas naturale
 s) vendita a clienti finali del gas naturale"
"UNI.CO.GE. SRL
 Società a responsabilita limitata (S.r.l.)
 P.IVA 03237330232
 C.F. 03237330232
 Anno di costituzione 2002",info@unicoge.it,www.unicoge.it,"Piazza P.zza Costituzione ,
4 - 37047
SAN BONIFACIO(Verona)","Piazza P.zza Costituzione ,
4 - 37047
SAN BONIFACIO(Verona)","g) vendita a clienti liberi dell'energia elettrica 
 h) vendita a clienti tutelati dell'energia elettrica 
 s) vendita a clienti finali del gas naturale"
"UNOGAS ENERGIA SPA
 Società per azioni (S.p.a.)
 P.IVA 01368720080
 C.F. 01368720080
 Anno di costituzione 2004",MAIL@UNOGAS.IT,WWW.UNOGAS.IT,"Via VIA DON ABBO ,
12 - 18100
IMPERIA(Imperia)","Via PERIANE,
21 - 18018
TAGGIA(Imperia)","g) vendita a clienti liberi dell'energia elettrica 
 r) acquisto e vendita all'ingrosso del gas naturale
 s) vendita a clienti finali del gas naturale"
"UNOGAS TOSCANA SRL
 Società a responsabilita limitata (S.r.l.)
 P.IVA 01503830497
 C.F. 01503830497
 Anno di costituzione 2005",,,"Corso BUENOS AYRES ,
6 - 16129
GENOVA(Genova)","Via DELLE CATERATTE ,
77 - 57122
LIVORNO(Livorno)","g) vendita a clienti liberi dell'energia elettrica 
 s) vendita a clienti finali del gas naturale"
"UTILITA'
 Società per azioni (S.p.a.)
 P.IVA 13083740152
 C.F. 13083740152
 Anno di costituzione 2000",servizi@utilita.com,www.utilita.com,"Via VIA ANTONIO CANOVA,
19 - 20145
MILANO(Milano)","Via VIA ANTONIO CANOVA,
19 - 20145
MILANO(Milano)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 r) acquisto e vendita all'ingrosso del gas naturale
 s) vendita a clienti finali del gas naturale"
"VALLE CAMONICA SERVIZI VENDITE S.P.A.
 Società per azioni (S.p.a.)
 P.IVA 02349420980
 C.F. 02349420980
 Anno di costituzione 2002",info@vallecamonicaservizi.it,www.vallecamonicaservizi.it,"Via VIA M. RIGAMONTI N. 65,
65 - 25047
DARFO BOARIO TERME(Brescia)","Via VIA M. RIGAMONTI N. 65,
65 - 25047
DARFO BOARIO TERME(Brescia)","g) vendita a clienti liberi dell'energia elettrica 
 s) vendita a clienti finali del gas naturale"
"Veronagest Energy S.r.l.
 Società a responsabilita limitata (S.r.l.)
 P.IVA 03793320239
 C.F. 03793320239
 Anno di costituzione 2008",a.nobili@veronagest.com,,"Piazza Cittadella ,
3 - 37122
VERONA(Verona)","Piazza Cittadella ,
3 - 37122
VERONA(Verona)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica"
"VISITEL 
 Società a responsabilita limitata (S.r.l.)
 P.IVA 02122720200
 C.F. 02122720200
 Anno di costituzione 2005",info@visitel.it,www.visitel.it,"Piazza Veronesi,
7 - 46019
VIADANA(Mantova)","Piazza Veronesi,
7 - 46019
VIADANA(Mantova)",g) vendita a clienti liberi dell'energia elettrica
"VOGHERA ENERGIA VENDITA
 Società per azioni (S.p.a.)
 P.IVA 02104880188
 C.F. 02104880188
 Anno di costituzione 2005",torlaschif@asmvoghera.it,www.vogheraenergiavendita.it,"Via Gramsci,
1 - 27058
VOGHERA(Pavia)","Via Gramsci,
1 - 27058
VOGHERA(Pavia)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 r) acquisto e vendita all'ingrosso del gas naturale
 s) vendita a clienti finali del gas naturale"
"WIND FARM TRADING S.R.L.
 Società a responsabilita limitata (S.r.l.)
 P.IVA 03366260713
 C.F. 03366260713
 Anno di costituzione 2004",,,"Via Via Uberti,
14 - 47023
CESENA(Forlì-Cesena)","Via Via dell'Arrigoni,
60 - 47023
CESENA(Forlì-Cesena)","g) vendita a clienti liberi dell'energia elettrica 
 h) vendita a clienti tutelati dell'energia elettrica"
"WORLDENERGY ITALIA SRL
 Società a responsabilita limitata (S.r.l.)
 P.IVA 04497820961
 C.F. 04497820961
 Anno di costituzione 2004",administration@wdenergy.com,,"Via Largo Donegani ,
2 - 20121
MILANO(Milano)","Via Largo Donegani ,
2 - 20121
MILANO(Milano)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 r) acquisto e vendita all'ingrosso del gas naturale
 s) vendita a clienti finali del gas naturale"
"Youtrade
 Società per azioni (S.p.a.)
 P.IVA 03525310169
 C.F. 03525310169
 Anno di costituzione 2008",info@innowatio.it,www.innowatio.it,"Via Stezzano c/o Parco Scientifico Tecnologico Kilometro Rosso,
  - 24100
BERGAMO(Bergamo)","Via Padre C. Elzi, 28/a,
  - 24050
GRASSOBBIO(Bergamo)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 r) acquisto e vendita all'ingrosso del gas naturale
 altro"
